0,1,2,3,4
Planet Terror,http://www.imdb.com/title/tt1077258/,http://technoir.nl/post/82926235395/april2014-planetterror,"'I was going to be a stand-up comedian.'
Planet Terror (2007)",http://31.media.tumblr.com/6f776e1d3da978450a2b22a9a680fc48/tumblr_n4573ufUap1qghl49o1_500.gif
Fish Tank,http://www.imdb.com/title/tt1232776/,http://technoir.nl/post/82616445759/april2014-fishtank,"'Life's a bitch and then you die.' 

Fish Tank (2009)",http://31.media.tumblr.com/89c000d4ad5b62e00ad4ef60965edb4f/tumblr_n3zlsg6Sqi1qghl49o1_500.gif
The Thin Red Line,http://www.imdb.com/title/tt0120863/,http://technoir.nl/post/81915907088/april2014-thethinredline,"'This great evil. Where does it come from? How'd it steal into the world? What seed, what root did it grow from? Who's doin' this? Who's killin' us? Robbing us of life and light. Mockin' us with the sight of what we might've known.'
The Thin Red Line (1998)",http://38.media.tumblr.com/624a19cafd41436ec287b3e492dfd910/tumblr_n3mjfk37DN1qghl49o1_r1_500.gif
2001: A Space Odyssey,http://www.imdb.com/title/tt0062622/,http://technoir.nl/post/81123293100/march2014-2001aspaceoddysey,"'Jupiter and beyond the infinite'
2001: A Space Odyssey (1968)",http://37.media.tumblr.com/414c6d09204aba6b054341b45b68758d/tumblr_n381ofewGD1qghl49o1_r1_500.gif
Snowpiercer,http://www.imdb.com/title/tt1706620/,http://technoir.nl/post/80390119891/march2014-snowpiercer,"'Your story is so beautiful, Curtis. But I don't want to open the door. You know what I want? I want to open a door. &#8230; The one that leads to the outside.'
Snowpiercer (2013)",http://37.media.tumblr.com/95639a81b80a3d76d6f5d0fe5c1f321f/tumblr_n2usyeLd481qghl49o1_500.gif
Dogma,http://www.imdb.com/title/tt0120655/,http://technoir.nl/post/80088564586/march2014-dogma,"'I hate you. &#8230; He can't hear you, you know.'
Dogma (1999)",http://38.media.tumblr.com/905f57cab857ae06feedbcf51f72982c/tumblr_n2jjwhR0xR1qghl49o1_500.gif
Star Wars: Episode V - The Empire Strikes Back,http://www.imdb.com/title/tt0080684/,http://technoir.nl/post/79774841346/march2014-starwarsepisodevtheempirestrikesback,"'The force is with you, young Skywalker, but you are not a Jedi yet.'
Star Wars: Episode V - The Empire Strikes Back (1980)",http://38.media.tumblr.com/b4f2ffad5330697e7658f9bff7fa725a/tumblr_n2jgg6qM5h1qghl49o1_500.gif
Tron,http://www.imdb.com/title/tt0084827/,http://technoir.nl/post/79199313834/march2014-tron,"'On the other side of the screen, it all looks so easy.'
Tron (1982)",http://33.media.tumblr.com/e7a8577647b0d7b27d9724ae8bd74dfb/tumblr_n28pl3sVs71qghl49o1_500.gif
The Shining,http://www.imdb.com/title/tt0081505/,http://technoir.nl/post/77298545447/february2014-theshining,"'The site is supposed to be located on an Indian burial ground, and I believe they actually had to repel a few Indian attacks as they were building it.'
The Shining (1980)",http://33.media.tumblr.com/b216ded003acdcf53f645e732ddd1d90/tumblr_n17t7yJaeE1qghl49o1_r3_500.gif
The American,http://www.imdb.com/title/tt1440728/,http://technoir.nl/post/77097463827/february2013-theamerican,"'So beautiful. &#8230; Endangered.'
The American (2010)",http://31.media.tumblr.com/f8fb3173d5cf9b1cec7101a10ddf71b0/tumblr_n17lm74teL1qghl49o1_500.gif
The Master,http://www.imdb.com/title/tt1560747/,http://technoir.nl/post/76743954101/february2014-themaster,"'Free winds and no tyranny for you, Freddie, sailor of the seas. You pay no rent, free to go where you please. Then go, go to that landless latitude and good luck. If you figure a way to live without serving a master, any master, then let the rest of us know, will you? For you'd be the first in the history of the world.' 
The Master (2012)",http://37.media.tumblr.com/9b1364931890286c76f0f4ee7fbdc420/tumblr_n11rlcLQlE1qghl49o1_r1_500.gif
http://www.imdb.com/title/tt0060827/,http://Persona,http://technoir.nl/post/76546322045/february2014-persona,"'To change oneself. My trouble is laziness.'
Persona (1966)",http://37.media.tumblr.com/c9a5dc79cb114b7cfd74c6945848e124/tumblr_n0y6vfhSbI1qghl49o1_r1_500.gif
Gattaca,http://www.imdb.com/title/tt0119177/,http://technoir.nl/post/75531614419/february2014-gattaca,"'I made up my mind to resort to more extreme measures.' 
Gattaca (1997)",http://33.media.tumblr.com/161246cf2ef74df7202d7de108cc40ab/tumblr_n0g30iEkNQ1qghl49o1_500.gif
The Life Aquatic with Steve Zissou,http://www.imdb.com/title/tt0362270/,http://technoir.nl/post/74538920986/january2014-thelifeaquaticwithstevezissou,"'Sorry about that. You caught me with one foot off the merry-go-round tonight.'
The Life Aquatic with Steve Zissou (2004)",http://38.media.tumblr.com/ac1f6b731f8a82540a12ba322276451b/tumblr_mzzbtnhKZL1qghl49o1_500.gif
,http://www.imdb.com/title/tt1951264/,http://technoir.nl/post/74197570726/january2014-thehungergamescatchingfire,"'Since the last games, something is different. I can see it. &#8230; What can you see? &#8230; Hope.' 
The Hunger Games: Catching Fire (2013)",http://33.media.tumblr.com/0e706ce1de943ab08176912d13b821d0/tumblr_mztjwvtFaQ1qghl49o1_r2_500.gif
France Ha,http://www.imdb.com/title/tt2347569/,http://technoir.nl/post/73537307895/january2014-francesha,"'Sometimes it's good to do what you're supposed to do when you're supposed to do it.'
Frances Ha (2012)",http://33.media.tumblr.com/ecc8cdaf7814815d84df347b6180f623/tumblr_mzigbsqp421qghl49o1_500.gif
Submarine,http://www.imdb.com/title/tt1440292/,http://technoir.nl/post/72804092928/january2014-submarine,"'Every night I come to the same place and wait till the sky catches up with my mood.'
Submarine (2010)",http://37.media.tumblr.com/da195950d1e55c7611bedfddeb2f180b/tumblr_mz5nu1U1MC1qghl49o1_500.gif
The Third Man,http://www.imdb.com/title/tt0041959/,http://technoir.nl/post/72000208064/januari2014-thethirdman,"'One can't just leave.'
The Third Man (1949)",http://38.media.tumblr.com/5252d10b80e344a993e33d807b3e72d5/tumblr_myslfpeIB31qghl49o1_r2_500.gif
Byzantium,http://www.imdb.com/title/tt1531901/,http://technoir.nl/post/71341663358/december2013-byzantium,"'Only those prepared to die will find eternal life.'
Byzantium (2013)",http://33.media.tumblr.com/9abfdfa9e5792fc3b74155c2397de4eb/tumblr_mya6hrlAQE1qghl49o1_r2_500.gif
Nausicaä of the Valley of the Wind,http://www.imdb.com/title/tt0087544/,http://technoir.nl/post/70791712173/december2013-nausicaaofthevalleyofthewind,"'Who made such a terrible mess of the world?'
Nausicaä of the Valley of the Wind (1984)",http://38.media.tumblr.com/36f7ac50a36fadcf98a30e9c6bd8870f/tumblr_my7t6ibX601qghl49o1_500.gif
The Tree of Life,http://www.imdb.com/title/tt0478304/,http://technoir.nl/post/70117440276/december2013-thetreeoflife,"'Help each other. Love everyone. Every leaf. Every ray of light. Forgive.'
The Tree of Life (2011)",http://38.media.tumblr.com/2d7ea67070729cf2d82653a47a2ad3f1/tumblr_mxnx54Lkyz1qghl49o1_r5_500.gif
Blade Runner,http://www.imdb.com/title/tt0083658/,http://technoir.nl/post/69907525788/december2013-bladerunner,"'Not very sporting to fire on an unarmed opponent. I thought you were supposed to be good. Aren't you the &#8220;good&#8221; man? C'mon, Deckard. Show me what you're made of.'
Blade Runner (1982)",http://31.media.tumblr.com/f7afa928708043970523fac9958d9289/tumblr_mvpl7zMbmA1qghl49o1_500.gif
,http://www.imdb.com/title/tt1549572/,http://technoir.nl/post/69607844340/december2013-anotherearth,"'Keep your mind clear. And that&#8217;s it. You will have peace of mind. My dear, don&#8217;t worry. Learn to adjust yourself.&#8217;
Another Earth (2011)",http://38.media.tumblr.com/63731827cb8a04e925e12b9089b83e6a/tumblr_mxltz35zQg1qghl49o1_r2_500.gif
Hero,http://www.imdb.com/title/tt0299977/,http://technoir.nl/post/69383811435/december2013-hero,"'We stood facing each other for a long time, neither of us made a move, while our battle unfolded in the depths of our minds.'
Hero (2002)",http://38.media.tumblr.com/c6d37d8873ffae614201bdf1406cf53c/tumblr_mxhxvakqG31qghl49o1_r1_500.gif
Vertigo,http://www.imdb.com/title/tt0052357/,http://technoir.nl/post/68196616997/november2013-vertigo,"'I'm not mad. I don't want to die. There's someone within me and she says I must die.'
Vertigo (1958)",http://38.media.tumblr.com/23239b9d4cec811b488fd28d9d823221/tumblr_mww4ecyBR41qghl49o1_500.gif
Hunger,http://www.imdb.com/title/tt0986233/,http://technoir.nl/post/67685723797/november2013-hunger,"'Maybe it’s impossible for a man like you to understand. But having a respect for my life, a desire for freedom, and an unyielding love for that belief means I can see past any doubts I may have. Putting my life on the line is not just the only thing I can do, Dom. It’s the right thing.'
Hunger (2008)",http://38.media.tumblr.com/debcc62d9b927a01afea7301e749c7a0/tumblr_mwizlfptdT1qghl49o1_500.gif
Submarine,http://www.imdb.com/title/tt1440292/,http://technoir.nl/post/67186735142/november2013-submarine,"'I wish my life could be more like American soap operas. Then, whenever things got dramatic, you could just fade the picture down and pick things up later.'
Submarine (2010)",http://31.media.tumblr.com/556c6e8fb63ed1cfdb5fae9dfc6e5569/tumblr_mwdkrd3Rkv1qghl49o1_r1_500.gif
Blade Runner,http://www.imdb.com/title/tt0083658/,http://technoir.nl/post/66215147899/november2013-bladerunner,"'Los Angeles 
November, 2019&#8217;
Blade Runner (1982)",http://37.media.tumblr.com/4cc9a83b11a2af4eed2236ad575c6396/tumblr_mvpdb6Y3Yv1qghl49o1_r10_500.gif
Brick,http://www.imdb.com/title/tt0393109/,http://technoir.nl/post/65899703987/november2013-brick,"'Don't&#8230; &#8230; It's done.'
Brick (2005)",http://37.media.tumblr.com/7fdc0480e1c08691705ee1425deedd06/tumblr_mvp3z3MQvn1qghl49o1_500.gif
Rushmore,http://www.imdb.com/title/tt0128445/,http://technoir.nl/post/64892498133/october2013-rushmore,"'So you were in Vietnam? &#8230; Yeah. &#8230; Were you in the shit? &#8230; Yeah, I was in the shit.'
Rushmore (1998)",http://37.media.tumblr.com/a2939c5e3f9e2f33d851426fb417f8cc/tumblr_mv5348v8GT1qghl49o1_500.gif
Spring Breakers,http://www.imdb.com/title/tt2101441/,http://technoir.nl/post/64519488569/october2013-springbreakers,"'Spring break forever.'
Spring Breakers (2012)",http://38.media.tumblr.com/d66ddba53d3e3aeee414a6b1c17bf298/tumblr_muxu9dqI161qghl49o1_r1_500.gif
The Hunger Games,http://www.imdb.com/title/tt1392170/,http://technoir.nl/post/64137519348/october2013-thehungergames,"'How long was I asleep?'
The Hunger Games (2012)",http://33.media.tumblr.com/f51f1c7e70baba380a8339db979325cc/tumblr_muq79dzIMp1qghl49o1_500.gif
